 Sample   Time     Commanded 1 Pos   Commanded 2 Pos  Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Encoder 4 Pos   Control Effort 1  Control Effort 2

     0    0.000               0               0               0              -1               0               0          0.0000          0.0549;
     1    0.018             200               0             -10               0               0               0        -10.0021         -0.1975;
     2    0.035             200               0             -20               1               8               0        -10.0021         -0.0797;
     3    0.053             200               0             -36               1              24               0        -10.0021         -0.1438;
     4    0.071             200               0             -60               1              46               0         -8.2237         -0.1044;
     5    0.089             200               0             -92               1              75               0         -5.9991         -0.1047;
     6    0.106             200               0            -129               1             108               0         -3.1600         -0.1047;
     7    0.124             200               0            -170               1             147               0         -0.4683         -0.1050;
     8    0.142             200               0            -211               0             185               0          2.0302         -0.0803;
     9    0.159             200               0            -246               0             220               0          4.2161         -0.0803;
    10    0.177             200               0            -275              -1             249               0          5.4710         -0.0357;
    11    0.195             200               0            -298              -2             271               0          6.2564          0.0000;
    12    0.213             200               0            -314              -3             284               0          6.3993         -0.0174;
    13    0.230             200               0            -321              -4             290               0          6.1716          0.0082;
    14    0.248             200               0            -320              -3             289               0          5.8007         -0.2231;
    15    0.266             200               0            -311              -3             278               0          4.2326          0.0885;
    16    0.283             200               0            -295              -3             262               0          2.7918          0.0885;
    17    0.301             200               0            -275              -2             241               0          1.1880         -0.1636;
    18    0.319             200               0            -253              -2             219               0         -0.6255         -0.0458;
    19    0.336             200               0            -231              -1             197               0         -1.8443         -0.1297;
    20    0.354             200               0            -212              -1             177               0         -3.1175         -0.0885;
    21    0.372             200               0            -202              -0             161               0         -3.8043         -0.1081;
    22    0.390             200               0            -192               0             150               0         -4.1105         -0.1126;
    23    0.407             200               0            -188               0             144               0         -4.1868         -0.0870;
    24    0.425             200               0            -190               0             143               0         -3.8260         -0.0870;
    25    0.443             200               0            -196               0             147               0         -3.2882         -0.0873;
    26    0.460             200               0            -207               0             155               0         -2.3449         -0.0873;
    27    0.478             200               0            -220               0             165               0         -1.3233         -0.0873;
    28    0.496             200               0            -235               0             177               0         -0.5174         -0.0873;
    29    0.514             200               0            -250              -1             189               0          0.2381          0.0553;
    30    0.531             200               0            -264              -1             200               0          0.7900         -0.0629;
