 Sample   Time     Commanded 1 Pos   Commanded 2 Pos  Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Encoder 4 Pos   Control Effort 1  Control Effort 2

     0    0.000               0               0               0               1               0               0          0.0000         -0.2045;
     1    0.018              41               0               0               0               0               0         -2.1297         -0.0699;
     2    0.035              94               0              -2               1               0               0         -5.5546         -0.0699;
     3    0.053             147               0             -12               1               8               0         -5.5601         -0.2045;
     4    0.071             200               0             -26               2              21               0         -5.8178         -0.3056;
     5    0.089             254               0             -48               3              41               0         -5.8675         -0.2940;
     6    0.106             307               0             -76               3              67               0         -4.8053         -0.2463;
     7    0.124             360               0            -111               3              98               0         -4.3114         -0.3565;
     8    0.142             413               0            -151               2             135               0         -3.6322         -0.2219;
     9    0.159             466               0            -194               2             175               0         -2.9487         -0.2222;
    10    0.177             519               0            -241               2             218               0         -2.1807         -0.2222;
    11    0.195             572               0            -291               2             263               0         -2.1444         -0.2225;
    12    0.213             625               0            -343               2             310               0         -1.9973         -0.2225;
    13    0.230             679               0            -395               1             359               0         -1.6728         -0.2042;
    14    0.248             732               0            -450               1             408               0         -1.7976         -0.1978;
    15    0.266             785               0            -506               1             459               0         -0.9594         -0.1981;
    16    0.283             838               0            -562               1             510               0         -1.1709         -0.1954;
    17    0.301             891               0            -619               1             561               0         -1.5397         -0.1874;
    18    0.319             944               0            -677               1             613               0         -1.6706         -0.1975;
    19    0.336             997               0            -735               2             665               0         -1.5800         -0.3996;
    20    0.354            1050               0            -794               1             718               0         -1.0742         -0.3407;
    21    0.372            1104               0            -852               1             771               0         -0.8828         -0.2060;
    22    0.390            1157               0            -911              -0             824               0         -0.5784         -0.1514;
    23    0.407            1210               0            -971               0             876               0         -1.1850         -0.0714;
    24    0.425            1263               0           -1030               1             929               0         -1.2937         -0.2060;
    25    0.443            1316               0           -1090               1             983               0         -0.7860         -0.2060;
    26    0.460            1369               0           -1151               0            1036               0         -0.5864         -0.0714;
    27    0.478            1422               0           -1211               1            1089               0         -1.0519         -0.3239;
    28    0.496            1475               0           -1273               1            1141               0         -1.4570         -0.3239;
    29    0.514            1529               0           -1334               1            1195               0         -0.7778         -0.2060;
    30    0.531            1582               0           -1395               1            1248               0         -0.7637         -0.2060;
    31    0.549            1635               0           -1457               0            1301               0         -1.2937         -0.0714;
    32    0.567            1688               0           -1519               1            1354               0         -1.5034         -0.0714;
    33    0.584            1741               0           -1581               1            1407               0         -0.7015         -0.3239;
    34    0.602            1794               0           -1644               1            1460               0         -0.8443         -0.3239;
    35    0.620            1847               0           -1708               1            1513               0         -1.1789         -0.2060;
    36    0.638            1900               0           -1771               0            1566               0         -1.5397         -0.2060;
    37    0.655            1954               0           -1836               0            1619               0         -0.9432         -0.0714;
    38    0.673            2007               0           -1900               1            1672               0         -0.7799         -0.0714;
    39    0.691            2060               0           -1964               1            1725               0         -1.3120         -0.2060;
