 Sample   Time     Commanded 1 Pos   Commanded 2 Pos  Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Encoder 4 Pos   Control Effort 1  Control Effort 2

     0    0.000               0               0               0              -1               0               0          0.0000         -0.0577;
     1    0.009           16000               0               8              -1               0               0          4.8840         -0.3101;
     2    0.018           16000               0              10              -1              -1               0          4.8840         -0.0577;
     3    0.027           16000               0              13              -1              -5               0          4.8840         -0.1755;
     4    0.035           16000               0              19              -1             -10               0          4.8840         -0.1755;
     5    0.044           16000               0              25              -2             -16               0          4.8840         -0.1755;
     6    0.053           16000               0              34              -2             -24               0          4.8840         -0.0788;
     7    0.062           16000               0              44              -2             -34               0          4.8840         -0.1380;
     8    0.071           16000               0              56              -2             -44               0          4.8840         -0.1313;
     9    0.080           16000               0              70              -3             -57               0          4.8840         -0.1279;
    10    0.089           16000               0              85              -3             -70               0          4.8840         -0.1502;
    11    0.097           16000               0             101              -3             -86               0          4.8840         -0.1499;
    12    0.106           16000               0             119              -3            -102               0          4.8840         -0.1499;
    13    0.115           16000               0             139              -3            -120               0          4.8840         -0.1499;
    14    0.124           16000               0             160              -3            -139               0          4.8840         -0.1499;
    15    0.133           16000               0             183              -3            -160               0          4.8840         -0.1496;
    16    0.142           16000               0             208              -2            -182               0          4.8840         -0.0400;
    17    0.151           16000               0             234              -2            -206               0          4.8840         -0.2927;
    18    0.159           16000               0             261              -2            -231               0          4.8840         -0.0400;
    19    0.168           16000               0             290              -2            -258               0          4.8840         -0.1578;
    20    0.177           16000               0             320              -3            -285               0          4.8840         -0.0931;
    21    0.186           16000               0             352              -2            -314               0          4.8840         -0.2756;
    22    0.195           16000               0             386              -2            -345               0          4.8840         -0.0229;
    23    0.204           16000               0             422              -3            -377               0          4.8840         -0.2756;
    24    0.213           16000               0             458              -2            -410               0          4.8840         -0.1575;
    25    0.221           16000               0             496              -2            -444               0          4.8840         -0.1575;
    26    0.230           16000               0             536              -2            -480               0          4.8840         -0.1575;
