 Sample   Time     Commanded 1 Pos   Commanded 2 Pos  Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Encoder 4 Pos   Control Effort 1  Control Effort 2

     0    0.000               0               0               4               1               1               0          0.0342          0.0000;
     1    0.018             200               0              -7               1               1               0        -10.0021          0.0000;
     2    0.035             200               0             -17               1              10               0         -9.2009          0.0000;
     3    0.053             200               0             -34               3              26               0         -5.8034          0.0000;
     4    0.071             200               0             -57               5              48               0         -1.8883          0.0000;
     5    0.089             200               0             -83               7              72               0          0.5577          0.0000;
     6    0.106             200               0            -108               9              95               0          1.6941          0.0000;
     7    0.124             200               0            -129              11             116               0          2.5000          0.0000;
     8    0.142             200               0            -148              12             133               0          1.7885          0.0000;
     9    0.159             200               0            -162              12             146               0          1.7036          0.0000;
    10    0.177             200               0            -174              12             156               0          1.2741          0.0000;
    11    0.195             200               0            -183              12             164               0          0.4963          0.0000;
    12    0.213             200               0            -191              12             170               0          0.2582          0.0000;
    13    0.230             200               0            -196              12             174               0          0.4115          0.0000;
    14    0.248             200               0            -201              12             178               0          0.3550          0.0000;
    15    0.266             200               0            -205              12             181               0         -0.1087          0.0000;
    16    0.283             200               0            -208              12             182               0         -0.6749          0.0000;
    17    0.301             200               0            -211              12             184               0         -0.2778          0.0000;
    18    0.319             200               0            -213              12             185               0         -0.3868          0.0000;
    19    0.336             200               0            -216              12             186               0         -0.5116          0.0000;
    20    0.354             200               0            -218              12             187               0         -0.6929          0.0000;
    21    0.372             200               0            -220              12             188               0         -0.2335          0.0000;
    22    0.390             200               0            -222              12             189               0         -0.5198          0.0000;
    23    0.407             200               0            -224              12             189               0         -0.4191          0.0000;
    24    0.425             200               0            -226              12             189               0         -0.7091          0.0000;
    25    0.443             200               0            -228              12             189               0         -0.7091          0.0000;
    26    0.460             200               0            -230              12             189               0         -0.7091          0.0000;
    27    0.478             200               0            -232              12             189               0         -0.7091          0.0000;
    28    0.496             200               0            -234              12             189               0         -0.7091          0.0000;
    29    0.514             200               0            -237              12             189               0         -0.7091          0.0000;
    30    0.531             200               0            -239              12             189               0         -0.6569          0.0000;
    31    0.549             200               0            -242              12             189               0         -0.6468          0.0000;
    32    0.567             200               0            -245              12             190               0         -0.0623          0.0000;
    33    0.584             200               0            -248              12             191               0         -0.4472          0.0000;
    34    0.602             200               0            -250              12             191               0         -0.4209          0.0000;
    35    0.620             200               0            -253              12             191               0         -0.5803          0.0000;
    36    0.638             200               0            -255              12             191               0         -0.5803          0.0000;
    37    0.655             200               0            -257              12             191               0         -0.5803          0.0000;
    38    0.673             200               0            -260              12             191               0         -0.5803          0.0000;
    39    0.691             200               0            -262              12             191               0         -0.5803          0.0000;
    40    0.708             200               0            -265              12             191               0         -0.5803          0.0000;
    41    0.726             200               0            -268              12             191               0         -0.5803          0.0000;
    42    0.744             200               0            -271              12             191               0         -0.5803          0.0000;
    43    0.761             200               0            -274              12             191               0         -0.5803          0.0000;
    44    0.779             200               0            -277              12             191               0         -0.5803          0.0000;
    45    0.797             200               0            -280              12             191               0         -0.5803          0.0000;
    46    0.815             200               0            -283              12             191               0         -0.5803          0.0000;
    47    0.832             200               0            -286              12             191               0         -0.5803          0.0000;
    48    0.850             200               0            -289              12             191               0         -0.5803          0.0000;
    49    0.868             200               0            -293              12             191               0         -0.5803          0.0000;
    50    0.885             200               0            -296              12             191               0         -0.5803          0.0000;
    51    0.903             200               0            -299              12             191               0         -0.5803          0.0000;
    52    0.921             200               0            -302              12             190               0         -0.5803          0.0000;
    53    0.939             200               0            -305              12             190               0         -0.6749          0.0000;
    54    0.956             200               0            -309              12             190               0         -0.6749          0.0000;
    55    0.974             200               0            -313              12             190               0         -0.6749          0.0000;
    56    0.992             200               0            -317              12             190               0         -0.6749          0.0000;
    57    1.009               0               0            -315              12             190               0         10.0021          0.0000;
    58    1.027               0               0            -312              12             186               0         10.0021          0.0000;
    59    1.045               0               0            -301              11             171               0          6.9258          0.0000;
    60    1.063               0               0            -283              11             151               0          2.2250          0.0000;
    61    1.080               0               0            -262              11             127               0         -0.4148          0.0000;
    62    1.098               0               0            -241              12             104               0         -1.8895          0.0000;
    63    1.116               0               0            -222              13              83               0         -2.2219          0.0000;
    64    1.133               0               0            -206              15              66               0         -2.2637          0.0000;
    65    1.151               0               0            -194              18              51               0         -2.3040          0.0000;
    66    1.169               0               0            -185              20              40               0         -2.1828          0.0000;
    67    1.186               0               0            -179              23              31               0         -1.2659          0.0000;
    68    1.204               0               0            -175              26              24               0         -1.1832          0.0000;
    69    1.222               0               0            -172              30              19               0         -0.9252          0.0000;
    70    1.240               0               0            -171              33              15               0         -0.6633          0.0000;
    71    1.257               0               0            -171              36              12               0         -0.5061          0.0000;
    72    1.275               0               0            -172              40              10               0          0.0824          0.0000;
    73    1.293               0               0            -173              43               7               0         -0.5946          0.0000;
    74    1.310               0               0            -174              47               6               0         -0.0705          0.0000;
    75    1.328               0               0            -175              50               4               0         -0.6529          0.0000;
    76    1.346               0               0            -177              54               3               0         -0.1432          0.0000;
    77    1.364               0               0            -179              57               2               0         -0.3043          0.0000;
    78    1.381               0               0            -180              61               1               0         -0.2518          0.0000;
    79    1.399               0               0            -182              64              -1               0         -0.5784          0.0000;
    80    1.417               0               0            -184              67              -1               0         -0.0626          0.0000;
    81    1.434               0               0            -186              71              -2               0         -0.3324          0.0000;
    82    1.452               0               0            -188              74              -2               0         -0.4270          0.0000;
    83    1.470               0               0            -190              77              -4               0         -0.8907          0.0000;
    84    1.488               0               0            -192              80              -4               0         -0.4857          0.0000;
    85    1.505               0               0            -194              83              -5               0         -0.5864          0.0000;
    86    1.523               0               0            -196              86              -5               0         -0.3202          0.0000;
    87    1.541               0               0            -199              88              -5               0         -0.3202          0.0000;
    88    1.558               0               0            -201              91              -5               0         -0.3202          0.0000;
    89    1.576               0               0            -203              93              -5               0         -0.4252          0.0000;
    90    1.594               0               0            -204              94              -5               0         -0.4130          0.0000;
    91    1.611               0               0            -206              96              -6               0         -0.8724          0.0000;
    92    1.629               0               0            -208              97              -7               0         -0.5842          0.0000;
    93    1.647               0               0            -210              99              -7               0         -0.5864          0.0000;
    94    1.665               0               0            -212             100              -7               0         -0.4493          0.0000;
    95    1.682               0               0            -215             101              -7               0         -0.4493          0.0000;
    96    1.700               0               0            -217             101              -7               0         -0.4493          0.0000;
    97    1.718               0               0            -219             102              -7               0         -0.4493          0.0000;
    98    1.735               0               0            -222             102              -7               0         -0.4493          0.0000;
    99    1.753               0               0            -224             102              -7               0         -0.4493          0.0000;
   100    1.771               0               0            -226             102              -7               0         -0.4493          0.0000;
   101    1.789               0               0            -228             102              -7               0         -0.4493          0.0000;
   102    1.806               0               0            -230             102              -7               0         -0.4493          0.0000;
   103    1.824               0               0            -232             102              -7               0         -0.4493          0.0000;
   104    1.842               0               0            -234             102              -7               0         -0.4493          0.0000;
   105    1.859               0               0            -236             102              -7               0         -0.4493          0.0000;
   106    1.877               0               0            -238             102              -7               0         -0.4493          0.0000;
   107    1.895               0               0            -240             102              -7               0         -0.4493          0.0000;
   108    1.913               0               0            -241             102              -7               0         -0.4493          0.0000;
   109    1.930               0               0            -243             102              -7               0         -0.4493          0.0000;
   110    1.948               0               0            -245             102              -7               0         -0.4493          0.0000;
   111    1.966               0               0            -247             102              -7               0         -0.4493          0.0000;
   112    1.983               0               0            -248             102              -7               0         -0.4493          0.0000;
