 Sample   Time     Commanded 1 Pos   Commanded 2 Pos  Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Encoder 4 Pos   Control Effort 1  Control Effort 2

     0    0.000               0               0              -5               0              -1               0         -0.0946          0.0846;
     1    0.018             200               0             -13              -1              -1               0        -10.0021         -0.1682;
     2    0.035             200               0             -20               0               5               0         -7.5198         -0.0504;
     3    0.053             200               0             -34               1              19               0         -2.7476         -0.1386;
     4    0.071             200               0             -53               1              37               0          0.7244         -0.0992;
     5    0.089             200               0             -72               0              55               0          1.3190          0.1227;
     6    0.106             200               0             -89               0              71               0          0.6422         -0.0507;
     7    0.124             200               0            -104              -1              84               0          1.2106         -0.0339;
     8    0.142             200               0            -118              -1              96               0          0.8849         -0.0339;
     9    0.159             200               0            -130              -1             106               0         -0.0281         -0.0336;
    10    0.177             200               0            -140               0             116               0          0.4170          0.0842;
    11    0.195             200               0            -149               0             124               0         -0.2097         -0.1685;
    12    0.213             200               0            -158              -1             131               0         -0.3837         -0.1685;
    13    0.230             200               0            -166               0             137               0          0.2656          0.0842;
    14    0.248             200               0            -173               0             144               0          0.2491          0.0842;
    15    0.266             200               0            -179              -1             148               0         -0.1026         -0.1685;
    16    0.283             200               0            -185              -1             153               0         -0.4802         -0.1685;
    17    0.301             200               0            -190               0             156               0         -0.6194          0.0842;
    18    0.319             200               0            -195               0             160               0          0.2842          0.0842;
    19    0.336             200               0            -200               0             163               0         -0.1801         -0.0507;
    20    0.354             200               0            -204              -1             165               0         -0.9698          0.0842;
    21    0.372             200               0            -208              -1             168               0         -0.5928         -0.1685;
    22    0.390             200               0            -211              -1             170               0         -1.1071         -0.1685;
    23    0.407             200               0            -215               0             172               0         -0.4896         -0.0507;
    24    0.425             200               0            -219               0             173               0         -1.0403         -0.0507;
    25    0.443             200               0            -222              -1             175               0         -0.2842         -0.1685;
    26    0.460             200               0            -225               0             176               0         -1.2216         -0.1685;
    27    0.478             200               0            -229               0             177               0         -1.1285         -0.0507;
    28    0.496             200               0            -232               0             179               0         -0.0647         -0.0507;
    29    0.514             200               0            -235              -1             180               0         -0.6703          0.0839;
    30    0.531             200               0            -239               0             180               0         -0.9637          0.0839;
    31    0.549             200               0            -242               0             181               0         -0.8034         -0.1685;
    32    0.567             200               0            -245               0             182               0         -0.0244         -0.0507;
    33    0.584             200               0            -249               0             183               0         -0.6175         -0.0507;
    34    0.602             200               0            -252              -1             184               0         -0.7219         -0.1688;
    35    0.620             200               0            -254               0             184               0         -1.0314          0.0839;
    36    0.638             200               0            -258               0             184               0         -1.0314         -0.0507;
    37    0.655             200               0            -261               0             184               0         -0.9908         -0.0510;
    38    0.673             200               0            -266               0             184               0         -0.8993         -0.0510;
    39    0.691             200               0            -270              -1             186               0          0.3150         -0.1688;
    40    0.708             200               0            -273               0             187               0         -0.8382         -0.1688;
    41    0.726             200               0            -277               0             187               0         -0.8382         -0.0510;
    42    0.744             200               0            -280               0             187               0         -0.8382          0.0836;
    43    0.761             200               0            -284               0             187               0         -0.8382         -0.1688;
    44    0.779             200               0            -288               0             187               0         -0.7567         -0.1688;
    45    0.797             200               0            -292               0             187               0         -0.7060         -0.0510;
    46    0.815             200               0            -297               0             188               0         -0.3605         -0.0510;
    47    0.832             200               0            -301              -1             189               0         -0.3996         -0.1691;
    48    0.850             200               0            -305              -1             189               0         -0.7091         -0.1691;
    49    0.868             200               0            -309               0             189               0         -0.7091          0.0836;
    50    0.885             200               0            -313               0             189               0         -0.7091         -0.0510;
    51    0.903             200               0            -317               0             189               0         -0.7091         -0.0513;
    52    0.921             200               0            -321               0             189               0         -0.7091          0.0836;
    53    0.939             200               0            -325               0             189               0         -0.7091         -0.1691;
    54    0.956             200               0            -330               0             189               0         -0.7091         -0.1691;
    55    0.974             200               0            -334               0             189               0         -0.7091         -0.0513;
    56    0.992             200               0            -339               0             189               0         -0.7091         -0.0513;
    57    1.009               0               0            -343               0             189               0         10.0021          0.0833;
    58    1.027               0               0            -338              -1             186               0          8.7253          0.0833;
    59    1.045               0               0            -330              -1             174               0          2.6832         -0.0345;
    60    1.063               0               0            -317              -2             157               0         -0.7018          0.0498;
    61    1.080               0               0            -302              -1             138               0         -2.5421         -0.1670;
    62    1.098               0               0            -290              -0             123               0         -1.4069         -0.0342;
    63    1.116               0               0            -280               1             109               0         -1.3040         -0.0989;
    64    1.133               0               0            -272               1              98               0         -0.8376         -0.1105;
    65    1.151               0               0            -265               0              87               0         -1.0931         -0.0513;
    66    1.169               0               0            -260               0              78               0         -0.5021         -0.0513;
    67    1.186               0               0            -255               0              70               0         -0.6001         -0.0513;
    68    1.204               0               0            -252               0              62               0         -0.9533         -0.0513;
    69    1.222               0               0            -249               0              55               0         -0.2521         -0.0513;
    70    1.240               0               0            -247               0              50               0         -0.5027         -0.0516;
    71    1.257               0               0            -246               0              44               0          0.3135         -0.0516;
    72    1.275               0               0            -245               0              39               0         -0.8010         -0.0516;
    73    1.293               0               0            -245               0              35               0         -0.5293         -0.0516;
    74    1.310               0               0            -245               0              31               0         -0.7811         -0.0516;
    75    1.328               0               0            -245               0              28               0         -0.4164         -0.0516;
    76    1.346               0               0            -246               0              25               0          0.0095         -0.0516;
    77    1.364               0               0            -247               0              21               0         -0.0842         -0.0516;
    78    1.381               0               0            -248               0              18               0         -1.0452         -0.0519;
    79    1.399               0               0            -250               0              16               0         -0.2091         -0.0519;
    80    1.417               0               0            -252               0              14               0         -0.1807         -0.0519;
    81    1.434               0               0            -254               0              12               0          0.0687         -0.0519;
    82    1.452               0               0            -256               0              10               0         -0.7076         -0.0519;
    83    1.470               0               0            -258               0               9               0         -0.2445         -0.0519;
    84    1.488               0               0            -260               0               6               0         -0.8904         -0.0519;
    85    1.505               0               0            -263               0               6               0         -0.1810         -0.0519;
    86    1.523               0               0            -265               0               5               0         -0.2048         -0.0522;
    87    1.541               0               0            -268               0               3               0         -0.8694         -0.0522;
    88    1.558               0               0            -271               0               2               0          0.1310         -0.0522;
    89    1.576               0               0            -273               0               1               0         -0.4225         -0.0522;
    90    1.594               0               0            -276               0               1               0         -0.4301         -0.0522;
    91    1.611               0               0            -279               0              -1               0         -0.8037         -0.0522;
    92    1.629               0               0            -282               0              -2               0         -0.5137         -0.0522;
    93    1.647               0               0            -285               0              -2               0         -0.1270         -0.0525;
    94    1.665               0               0            -289               0              -2               0         -0.1270         -0.0525;
    95    1.682               0               0            -292               0              -2               0         -0.1676         -0.0525;
    96    1.700               0               0            -294              -1              -2               0         -0.2998         -0.1151;
    97    1.718               0               0            -297               0              -4               0         -1.3513         -0.0525;
    98    1.735               0               0            -300               0              -5               0         -0.5137         -0.0525;
    99    1.753               0               0            -304               0              -5               0         -0.3202         -0.0525;
   100    1.771               0               0            -307               0              -5               0         -0.3202         -0.0525;
   101    1.789               0               0            -311               0              -5               0         -0.3202          0.0821;
   102    1.806               0               0            -314               0              -5               0         -0.3202          0.0821;
   103    1.824               0               0            -317               0              -5               0         -0.3202         -0.1706;
   104    1.842               0               0            -320               0              -5               0         -0.3202         -0.0528;
   105    1.859               0               0            -323              -1              -5               0         -0.3202          0.0821;
   106    1.877               0               0            -325               0              -5               0         -0.4017          0.0821;
   107    1.895               0               0            -327              -1              -6               0         -1.7940         -0.1706;
   108    1.913               0               0            -329               0              -7               0         -0.8361         -0.1706;
   109    1.930               0               0            -332               0              -7               0         -0.4493         -0.0528;
   110    1.948               0               0            -335               0              -7               0         -0.6957         -0.0528;
   111    1.966               0               0            -338               0              -8               0         -0.7198          0.0818;
   112    1.983               0               0            -342               0              -8               0         -0.7033          0.0818;
