 Sample   Time     Commanded 1 Pos   Commanded 2 Pos  Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Encoder 4 Pos   Control Effort 1  Control Effort 2

     0    0.000               0               0               0               1               0               0          0.0000          0.0000;
     1    0.018             200               0              -1               1               0               0        -10.0021          0.0000;
     2    0.035             200               0              -9               1               7               0        -10.0021          0.0000;
     3    0.053             200               0             -23               2              19               0        -10.0021          0.0000;
     4    0.071             200               0             -44               4              39               0         -7.7063          0.0000;
     5    0.089             200               0             -72               7              64               0         -4.5986          0.0000;
     6    0.106             200               0            -104               9              95               0         -1.1416          0.0000;
     7    0.124             200               0            -137              12             125               0          0.7979          0.0000;
     8    0.142             200               0            -169              14             154               0          1.4399          0.0000;
     9    0.159             200               0            -197              15             180               0          2.0214          0.0000;
    10    0.177             200               0            -221              16             202               0          2.4270          0.0000;
    11    0.195             200               0            -242              17             220               0          1.8715          0.0000;
    12    0.213             200               0            -258              16             235               0          1.8318          0.0000;
    13    0.230             200               0            -271              16             246               0          1.0345          0.0000;
    14    0.248             200               0            -281              16             254               0          1.1978          0.0000;
    15    0.266             200               0            -288              16             259               0          0.4573          0.0000;
    16    0.283             200               0            -293              16             263               0          0.6349          0.0000;
    17    0.301             200               0            -297              16             264               0          0.2216          0.0000;
    18    0.319             200               0            -299              17             265               0          0.4701          0.0000;
    19    0.336             200               0            -299              17             265               0          0.3168          0.0000;
    20    0.354             200               0            -299              17             263               0          0.6554          0.0000;
    21    0.372             200               0            -297              17             260               0         -0.8013          0.0000;
    22    0.390             200               0            -295              17             257               0         -0.3700          0.0000;
    23    0.407             200               0            -294              17             254               0         -0.0079          0.0000;
    24    0.425             200               0            -292              17             251               0          0.0986          0.0000;
    25    0.443             200               0            -290              17             248               0         -0.1719          0.0000;
    26    0.460             200               0            -288              17             244               0         -0.7543          0.0000;
    27    0.478             200               0            -287              17             241               0         -0.5003          0.0000;
    28    0.496             200               0            -285              17             237               0         -0.4414          0.0000;
    29    0.514             200               0            -283              17             233               0          0.0394          0.0000;
    30    0.531             200               0            -281              17             230               0          0.0894          0.0000;
    31    0.549             200               0            -280              17             228               0         -0.0867          0.0000;
    32    0.567             200               0            -279              17             225               0         -0.5336          0.0000;
    33    0.584             200               0            -278              17             221               0         -0.0580          0.0000;
    34    0.602             200               0            -277              17             219               0          0.0510          0.0000;
    35    0.620             200               0            -276              17             217               0         -0.6081          0.0000;
    36    0.638             200               0            -276              17             214               0         -0.0922          0.0000;
    37    0.655             200               0            -275              17             212               0         -0.3196          0.0000;
    38    0.673             200               0            -275              17             210               0          0.0125          0.0000;
    39    0.691             200               0            -275              17             209               0         -0.4591          0.0000;
    40    0.708             200               0            -275              17             207               0         -0.1258          0.0000;
    41    0.726             200               0            -277              17             205               0         -0.5504          0.0000;
    42    0.744             200               0            -277              17             204               0         -0.1203          0.0000;
    43    0.761             200               0            -277              17             202               0         -0.2442          0.0000;
    44    0.779             200               0            -277              17             201               0         -0.6600          0.0000;
    45    0.797             200               0            -278              17             200               0         -0.3718          0.0000;
    46    0.815             200               0            -279              17             199               0         -0.3324          0.0000;
    47    0.832             200               0            -280              17             197               0         -0.6856          0.0000;
    48    0.850             200               0            -282              17             197               0         -0.5488          0.0000;
    49    0.868             200               0            -283              17             197               0         -0.2766          0.0000;
    50    0.885             200               0            -285              17             196               0         -0.4979          0.0000;
