 Sample   Time     Commanded 1 Pos   Commanded 2 Pos  Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Encoder 4 Pos   Control Effort 1  Control Effort 2

     0    0.000               0               0               0              -1               0               0          0.0000         -0.2787;
     1    0.018               0               0               0              -2               0               0          0.0000         -0.2787;
     2    0.035               0               0               0              -1               0               0          0.0000         -0.2787;
     3    0.053               0               0               0              -2               0               0          0.0000         -0.2787;
     4    0.071               0               0               0              -1               0               0          0.0000         -0.2787;
     5    0.089               0               0               0              -2               0               0          0.0000         -0.2787;
     6    0.106               0               0               0              -1               0               0          0.0000         -0.2790;
     7    0.124               0               0               0              -2               0               0          0.0000         -0.2790;
     8    0.142               0               0               0              -1               0               0          0.0000         -0.2790;
     9    0.159               0               0               0              -2               0               0          0.0000         -0.2790;
    10    0.177               0               0               0              -1               0               0          0.0000         -0.2790;
    11    0.195               0               0               0              -2               0               0          0.0000         -0.2790;
    12    0.213               0               0               0              -1               0               0          0.0000         -0.2790;
    13    0.230               0               0               0              -2               0               0          0.0000         -0.2793;
    14    0.248               0               0               0              -1               0               0          0.0000         -0.2793;
    15    0.266               0               0               0              -2               0               0          0.0000         -0.2793;
    16    0.283               0               0               0              -1               0               0          0.0000         -0.2793;
    17    0.301               0               0               0              -2               0               0          0.0000         -0.2793;
    18    0.319               0               0               0              -1               0               0          0.0000         -0.2793;
    19    0.336               0               0               0              -2               0               0          0.0000         -0.2793;
    20    0.354               0               0               0              -1               0               0          0.0000         -0.2796;
    21    0.372               0               0               0              -2               0               0          0.0000         -0.2796;
    22    0.390               0               0               0              -1               0               0          0.0000         -0.2796;
    23    0.407               0               0               0              -2               0               0          0.0000         -0.2796;
    24    0.425               0               0               0              -1               0               0          0.0000         -0.2796;
    25    0.443               0               0               0              -2               0               0          0.0000         -0.2796;
    26    0.460               0               0               0              -1               0               0          0.0000         -0.2796;
    27    0.478               0               0               0              -2               0               0          0.0000         -0.2799;
    28    0.496               0               0               0              -1               0               0          0.0000         -0.2799;
    29    0.514               0               0               0              -2               0               0          0.0000         -0.2799;
    30    0.531               0               0               0              -1               0               0          0.0000         -0.0275;
    31    0.549               0               0               0              -1               0               0          0.0000         -0.1621;
    32    0.567               0               0               0              -2               0               0          0.0000         -0.1453;
    33    0.584               0               0               0              -2               0               0          0.0000         -0.2799;
    34    0.602               0               0               0              -1               0               0         -0.0021         -0.1621;
    35    0.620               0               0               0              -1               0               0         -0.0021         -0.0275;
    36    0.638               0               0               0              -2               0               0         -0.0021         -0.2802;
    37    0.655               0               0               0              -2               0               0         -0.0021         -0.1456;
    38    0.673               0               0               0              -1               0               0         -0.0021         -0.2802;
    39    0.691               0               0               0              -1               0               0         -0.0021         -0.1624;
    40    0.708               0               0               0              -2               0               0         -0.0021         -0.1456;
    41    0.726               0               0               0              -2               0               0         -0.0021         -0.1456;
    42    0.744               0               0               0              -1               0               0         -0.0040         -0.0278;
    43    0.761               0               0               0              -2               0               0         -0.0040         -0.1624;
    44    0.779               0               0               0              -2               0               0         -0.0040         -0.1456;
    45    0.797               0               0               0              -2               0               0         -0.0040         -0.2802;
    46    0.815               0               0               0              -2               0               0         -0.0040         -0.0278;
    47    0.832               0               0               0              -2               0               0         -0.0040         -0.0278;
    48    0.850               0               0               0              -2               0               0         -0.0061         -0.1459;
    49    0.868               0               0               0              -1               0               0         -0.0061         -0.2805;
    50    0.885               0               0               0              -2               0               0         -0.0061         -0.1627;
    51    0.903               0               0               0              -2               0               0         -0.0061         -0.1459;
    52    0.921               0               0               0              -2               0               0         -0.0061         -0.1459;
    53    0.939               0               0               0              -1               0               0         -0.0079         -0.0281;
    54    0.956               0               0               0              -2               0               0         -0.0079         -0.2805;
    55    0.974               0               0               0              -2               0               0         -0.0079         -0.1459;
    56    0.992               0               0               0              -1               0               0         -0.0101         -0.1459;
    57    1.009               0               0               0              -1               0               0         -0.0101         -0.0281;
    58    1.027               0               0               0              -2               0               0         -0.0101         -0.0281;
    59    1.045               0               0               0              -2               0               0         -0.0101         -0.1459;
    60    1.063               0               0               0              -2               0               0         -0.0122         -0.2808;
    61    1.080               0               0               0              -2               0               0         -0.0122         -0.2808;
    62    1.098               0               0               0              -2               0               0         -0.0140         -0.0281;
    63    1.116               0               0               0              -2               0               0         -0.0140         -0.1462;
