 Sample   Time     Commanded 1 Pos   Commanded 2 Pos  Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Encoder 4 Pos   Control Effort 1  Control Effort 2

     0    0.000               0               0               0               1               0               0          0.0000         -0.2833;
     1    0.018               0               0               0               0               0               0          0.0000         -0.2833;
     2    0.035               0               0               0               0               0               0          0.0000         -0.0305;
     3    0.053               0               0               0               0               0               0          0.0000         -0.1487;
     4    0.071               0               0               0               0               0               0          0.0000         -0.1487;
     5    0.089               0               0               0               1               0               0          0.0000         -0.1487;
     6    0.106               0               0               0               0               0               0          0.0000         -0.2833;
     7    0.124               0               0               0               0               0               0          0.0000         -0.2833;
     8    0.142               0               0               0               0               0               0          0.0000         -0.1487;
     9    0.159               0               0               0               0               0               0          0.0000         -0.1487;
    10    0.177               0               0               0               0               0               0          0.0000         -0.1487;
    11    0.195               0               0               0               0               0               0          0.0000         -0.0308;
    12    0.213               0               0               0               0               0               0          0.0000         -0.2833;
    13    0.230               0               0               0               0               0               0          0.0000         -0.1487;
    14    0.248               0               0               0               0               0               0          0.0000         -0.1487;
    15    0.266               0               0               0               0               0               0          0.0000         -0.1487;
    16    0.283               0               0               0               0               0               0          0.0000         -0.0308;
    17    0.301               0               0               0               0               0               0          0.0000         -0.0308;
    18    0.319               0               0               0               0               0               0          0.0000         -0.1487;
    19    0.336               0               0               0               0               0               0          0.0000         -0.1487;
    20    0.354               0               0               0               0               0               0          0.0000         -0.1487;
    21    0.372               0               0               0               0               0               0          0.0000         -0.2836;
    22    0.390               0               0               0               0               0               0          0.0000         -0.0308;
    23    0.407               0               0               0               0               0               0          0.0000         -0.0311;
    24    0.425               0               0               0               0               0               0          0.0000         -0.1490;
    25    0.443               0               0               0               0               0               0          0.0000         -0.1490;
    26    0.460               0               0               0               1               0               0          0.0000         -0.2836;
    27    0.478               0               0               0               0               0               0          0.0000         -0.2836;
    28    0.496               0               0               0               0               0               0          0.0000         -0.0311;
    29    0.514               0               0               0               0               0               0          0.0000         -0.1490;
    30    0.531               0               0               0               0               0               0          0.0000         -0.1490;
    31    0.549               0               0               0               0               0               0          0.0000         -0.1490;
    32    0.567               0               0               0               0               0               0          0.0000         -0.2836;
    33    0.584               0               0               0               0               0               0          0.0000         -0.1490;
    34    0.602               0               0               0               0               0               0         -0.0021         -0.1490;
    35    0.620               0               0               0               0               0               0         -0.0021         -0.1490;
    36    0.638               0               0               0               0               0               0         -0.0021         -0.0311;
    37    0.655               0               0               0               0               0               0         -0.0021         -0.0311;
    38    0.673               0               0               0               0               0               0         -0.0021         -0.1490;
    39    0.691               0               0               0               0               0               0         -0.0021         -0.1490;
    40    0.708               0               0               0               0               0               0         -0.0021         -0.1490;
    41    0.726               0               0               0               0               0               0         -0.0021         -0.1490;
    42    0.744               0               0               0               1               0               0         -0.0021         -0.2836;
    43    0.761               0               0               0               0               0               0         -0.0040         -0.2839;
    44    0.779               0               0               0               0               0               0         -0.0040         -0.1490;
    45    0.797               0               0               0               0               0               0         -0.0040         -0.1490;
    46    0.815               0               0               0               0               0               0         -0.0040         -0.1490;
    47    0.832               0               0               0               0               0               0         -0.0040         -0.1490;
    48    0.850               0               0               0               0               0               0         -0.0061         -0.1490;
    49    0.868               0               0               0               0               0               0         -0.0061         -0.0311;
    50    0.885               0               0               0               0               0               0         -0.0061         -0.1493;
    51    0.903               0               0               0               0               0               0         -0.0061         -0.1493;
    52    0.921               0               0               0               0               0               0         -0.0061         -0.1493;
    53    0.939               0               0               0               0               0               0         -0.0079         -0.1493;
    54    0.956               0               0               0               0               0               0         -0.0079         -0.1493;
    55    0.974               0               0               0               0               0               0         -0.0079         -0.2839;
    56    0.992               0               0               0               0               0               0         -0.0101         -0.0314;
